scan,side,min_cur,min_tree,nl_cur,nl_tree,l20_cur,l20_tree
676,right,0.8845857925804163,0.8845857925804163,3,3,0.8796233811943113,0.8796233811943113
680,left,0.9717819860909868,0.9717808660878934,5,3,0.9775003053154064,0.9777224245970719
680,right,0.9436060971218848,0.9436060971218848,0,0,,
683,left,0.9852700899076255,0.9852700899076257,2,2,0.9864933132626318,0.9864933132626318
683,right,0.9586771782910952,0.9586771782910953,2,2,0.9585597701692126,0.9585597701692126
686,left,0.9688113677494684,0.9692406502394003,5,4,0.9578283557645868,0.9582524756104169
686,right,0.8609294741938509,0.8683251074731784,5,3,0.8600819772827243,0.8674698281193682
687,left,0.939811652159934,0.9406169777162666,3,2,0.9663111640002394,
687,right,0.918332387596982,0.918332387596982,1,1,,
690,left,0.9258408927019092,0.9258408927019092,3,3,0.9668735320402913,0.9668735320402913
690,right,0.976343532750104,0.9763435327501041,2,2,,
698,left,0.9649225132864918,0.9649225132864918,2,2,,
698,right,0.9548374023592668,0.9548374023592667,1,1,,
725,left,0.9442435574982972,0.9442435574982972,1,1,0.9442435574982972,0.9442435574982972
725,right,0.8985413429067437,0.8985413429067437,1,1,0.8961869048226062,0.8961869048226062
727,left,0.904956979790079,0.9049560506502548,5,4,0.9367435683491449,0.9386821215978498
727,right,0.948263777393503,0.948263777393503,1,1,,
738,left,0.9714725728340556,0.9724026203388454,3,2,0.9847924965860764,0.984792299518867
738,right,0.9224712227811448,0.9224712227811449,2,2,,
751,left,0.9511747459369888,0.9511747459369888,1,1,0.9734216717450804,0.9734216717450805
751,right,0.9814839267559732,0.9814839267559732,0,0,,
754,left,0.9318741297579554,0.9318741297579554,6,6,0.9577370485868596,0.9577370485868597
754,right,0.9755360792404922,0.9755360792404922,0,0,,
757,left,0.946820973243767,0.946820973243767,1,1,,
757,right,0.9018690539110494,0.9018690539110494,1,1,0.895931425491146,0.895931425491146
758,left,0.9681770063411635,0.9681770063411637,0,0,,
758,right,0.9400187940186168,0.9400187940186169,0,0,,
759,left,0.9380382069851908,0.9390894334428249,4,2,0.9384636732152482,0.9395154064945823
759,right,0.9423920398936708,0.9423731269148576,2,1,,
768,left,0.9351901391399488,0.9351809044196961,3,1,0.9263678175654586,0.9263586754651112
768,right,0.9257672875106968,0.9257672875106967,4,4,0.9411486335165596,0.9411486335165595
773,left,0.9589507640603626,0.9611394845399505,9,4,0.961866457982565,0.9640622425233077
773,right,0.938742909730576,0.9387429097305761,0,0,,
775,left,0.9172181242826234,0.9190761623086016,6,3,0.9493175541900614,0.9512479216636209
775,right,0.760191426104721,0.768297888209702,9,7,0.8675789333168769,0.8771706417306113
789,left,0.8733083583642206,0.8733071710123785,5,4,0.901847066797185,0.9018458380080175
789,right,0.9290628286857768,0.9290628286857767,0,0,,
790,left,0.9705063936379484,0.9705063936379484,2,2,0.9705063936379484,0.9705063936379484
790,right,0.9405959124628194,0.9405959124628194,0,0,,
799,left,0.9752078402230724,0.9752078402230723,1,1,0.983007759729048,0.9830077597290481
799,right,0.9441442472958508,0.9441312566003758,2,1,,
806,left,0.9481416457804008,0.9481416457804009,4,4,0.9685179126760772,0.9685179126760773
806,right,0.954218355136589,0.954218355136589,0,0,,
808,left,0.9438061727226036,0.9438061727226037,2,2,0.9728930899943118,0.9728930899943118
808,right,0.9553374707368444,0.9553374707368443,2,2,,
812,left,0.9715809799459204,0.9715805498133033,6,4,0.9834494365320056,0.9865592346731699
812,right,0.9174885345527644,0.917453309483018,9,8,0.9189756897047744,0.9189410526443674
813,left,0.9656855216272782,0.9688410925757043,4,2,0.9787485873411036,
813,right,0.9532245420776668,0.9532245420776668,0,0,,
817,left,0.9505500641637848,0.9505500641637848,2,2,0.9590027866635328,0.9590027866635327
817,right,0.9291063981219702,0.9291063981219702,0,0,,
825,left,0.9658371315469024,0.9658371315469024,6,6,0.9658371315469024,0.9658371315469024
825,right,0.9578949214066604,0.9578949214066603,0,0,,
828,left,0.9440322930848076,0.9450474143597145,6,4,0.9540500451785904,0.9550766121479628
828,right,0.8931624112760115,0.8930899358309842,10,6,0.9305458954334944,0.9304985959649923
830,left,0.9525264526763746,0.9525264526763746,2,2,0.9646558227255024,0.9646558227255024
830,right,0.9333636359692268,0.9333636359692267,0,0,,
832,left,0.9608528389423572,0.9608528389423571,3,3,,
832,right,0.932333411356021,0.932333411356021,4,4,0.9663046915983302,0.9663046915983302
837,left,0.9903433437085872,0.9904397872110022,3,2,0.9872555017423932,
837,right,0.9627070322879936,0.9627070322879936,0,0,,
842,left,0.9526209595741962,0.9526183876390595,3,1,,
842,right,0.9420684926257948,0.9420684926257947,0,0,,
844,left,0.9732385178178332,0.9738211393563647,8,4,0.9716504740153252,0.9716494330808869
844,right,0.956495364196756,0.9564765811428062,4,3,,
847,left,0.9346940137773724,0.9346900360848762,7,4,0.9656969842144706,0.9656928620098083
