scan,side,min_r4,nl_r4,l20_r4
667,left,0.9540523058839528,1,0.9568392088901603
667,right,0.9400352551688406,0,
669,left,0.9290806341710579,4,0.9620259764264483
669,right,0.935947886166788,0,
675,left,0.9700279732561082,2,
675,right,0.9521915816140407,3,0.9683432783494387
676,left,0.9318740769708969,8,0.9562334133608513
676,right,0.8845857925804163,3,0.8796233811943113
680,left,0.9717815932539813,4,0.9774981882472866
680,right,0.9436060971218848,0,
683,left,0.9852700899076257,2,0.9864933132626318
683,right,0.9586771782910953,2,0.9585597701692126
686,left,0.9688113677494684,5,0.9578283557645869
686,right,0.8683251074731784,3,0.8674698281193682
687,left,0.939811652159934,3,0.9663111640002394
687,right,0.918332387596982,1,
690,left,0.9258408927019092,3,0.9668735320402913
690,right,0.9763435327501041,2,
698,left,0.9649225132864918,2,
698,right,0.9548374023592667,1,
725,left,0.9442435574982972,1,0.9442435574982972
725,right,0.8985413429067437,1,0.8961869048226062
727,left,0.9049560506502548,4,0.9386821215978498
727,right,0.948263777393503,1,
738,left,0.9714725728340555,3,0.9847924965860763
738,right,0.9224712227811449,2,
751,left,0.9511747459369888,1,0.9734216717450805
751,right,0.9814839267559732,0,
754,left,0.9318741297579554,6,0.9577370485868597
754,right,0.9755360792404922,0,
757,left,0.946820973243767,1,
757,right,0.9018690539110494,1,0.895931425491146
758,left,0.9681770063411637,0,
758,right,0.9400187940186169,0,
759,left,0.9390894334428249,2,0.9395154064945823
759,right,0.9423731269148576,1,
768,left,0.9351901391399488,3,0.9263678175654586
768,right,0.9257672875106967,4,0.9411486335165595
773,left,0.9611394893835242,5,0.9640622473825139
773,right,0.9387429097305761,0,
775,left,0.9190799343652714,5,0.9512518405720137
775,right,0.768297888209702,7,0.8771706417306113
789,left,0.8733083583642206,5,0.901847066797185
789,right,0.9290628286857767,0,
790,left,0.9705063936379484,2,0.9705063936379484
790,right,0.9405959124628194,0,
799,left,0.9752078402230723,1,0.9830077597290481
799,right,0.9441442472958508,2,
806,left,0.9481416457804009,4,0.9685179126760773
806,right,0.954218355136589,0,
808,left,0.9438061727226037,2,0.9728930899943118
808,right,0.9553374707368443,2,
812,left,0.9715809445012329,5,0.9834493974796887
812,right,0.917453309483018,8,0.9189410526443674
813,left,0.9656854256741648,3,0.9787484900106376
813,right,0.9532245420776668,0,
817,left,0.9505500641637848,2,0.9590027866635327
817,right,0.9291063981219702,0,
825,left,0.9658371315469024,6,0.9658371315469024
825,right,0.9578949214066603,0,
828,left,0.9450474143597145,4,0.9550766121479628
828,right,0.8931597097726331,8,0.9305441324493424
830,left,0.9525264526763746,2,0.9646558227255024
830,right,0.9333636359692267,0,
832,left,0.9608528389423571,3,
832,right,0.932333411356021,4,0.9663046915983302
837,left,0.9903433437085871,3,0.9872555017423933
837,right,0.9627070322879936,0,
842,left,0.9526183876390595,1,
842,right,0.9420684926257947,0,
844,left,0.9732381256887791,6,0.9716498006990121
844,right,0.956495364196756,4,
847,left,0.9346900360848762,4,0.9656928620098083
847,right,0.8886191113746017,3,0.9350514591015651
869,left,0.9430443743658583,3,
869,right,0.9463648285743632,2,
874,left,0.9546460659230347,2,0.9601295115180788
874,right,0.9482648983649354,0,
878,left,0.9074646079351204,4,0.9025683547627038
878,right,0.9503451234263638,0,
890,left,0.9869364826582437,1,0.9927873442498888
890,right,0.9487051418900048,0,
901,left,0.9564459518136226,1,
901,right,0.940969269260731,0,
907,left,0.9572797669351166,3,0.9568558626231468
907,right,0.9666466222730424,0,
908,left,0.9697975508233244,2,0.9890254415638067
908,right,,0,
909,left,0.9426622333506915,4,0.931994018739469
909,right,0.9037526229126939,3,0.8898402253765249
911,left,0.9599832442885067,1,0.9615239656756847
911,right,0.9383086403122649,1,
928,left,0.9562972639637897,2,
928,right,0.9469639854739758,1,
932,left,0.9668244106659863,1,0.9586082935238107
932,right,0.9427556133907489,0,
935,left,0.9433824694621431,1,0.9568204378919094
935,right,0.9279093147151389,0,
937,left,0.9661807490518102,2,0.977535747762611
937,right,0.9848808777961722,0,
941,left,0.9570775133119102,0,
941,right,0.9505907254429274,0,
947,left,0.9255204308787711,5,0.9411136108141911
947,right,0.9184461622927894,1,
952,left,0.9737483555803438,0,
952,right,0.937086785988281,1,0.9816759612496361
954,left,0.9635362677567969,2,
954,right,0.9541371493415474,3,
958,left,0.9765839564268293,2,
958,right,0.9578160630143426,0,
972,left,0.9666126691823407,3,0.971092837039387
972,right,0.961751440754424,1,
973,left,0.9784012394644978,1,
973,right,0.9685907769275869,4,
980,left,0.9851723812235234,2,
980,right,0.9739278841537481,4,
984,left,0.9376801123214801,7,0.9376801123214801
984,right,0.9267375438174733,5,0.9393794072516921
985,left,0.9537959512516366,4,0.9752631624660949
985,right,0.9301754050976148,0,
993,left,0.9236873919921915,5,0.9304146501492914
993,right,0.8654527351704902,5,0.8877415365548544
995,left,0.9727275455058781,1,0.9583925152544656
995,right,0.9196962939367692,3,0.9567108408653429
997,left,0.9267961996817595,3,0.9542279480543563
997,right,0.9513371691523947,2,0.9587999581510711
