scan,side,min_disk,min_cur,nl_disk,nl_cur,l20_disk,l20_cur,Qin_disk,Qin_cur
725,right,0.8985413429067437,0.8985413429067437,1,1,0.8961869048226062,0.8961869048226062,0.8444857077479727,0.8444857077479727
727,left,0.904956979790079,0.904956979790079,5,5,0.9367435683491449,0.9367435683491449,2.3410516302795727,2.3410516302795727
727,right,0.948263777393503,0.948263777393503,1,1,,,1.45292094709133,1.45292094709133
738,left,0.9714725728340556,0.9714725728340555,3,3,0.9847924965860764,0.9847924965860763,2.524365928531759,2.524365928531759
738,right,0.9224712227811448,0.9224712227811449,2,2,,,0.6085668738674861,0.6085668738674861
751,left,0.9511747459369888,0.9511747459369888,1,1,0.9734216717450804,0.9734216717450805,2.5538028232159062,2.5538028232159062
751,right,0.9814839267559732,0.9814839267559732,0,0,,,0.3377722624127384,0.3377722624127384
754,left,0.9318741297579554,0.9318741297579554,6,6,0.9577370485868596,0.9577370485868597,3.238221330327234,3.238221330327234
754,right,0.9755360792404922,0.9755360792404922,0,0,,,1.0578394288802797,1.0578394288802797
757,left,0.946820973243767,0.946820973243767,1,1,,,3.0143546301078628,3.0143546301078628
757,right,0.9018690539110494,0.9018690539110494,1,1,0.895931425491146,0.895931425491146,0.7520300589527825,0.7520300589527825
758,left,0.9681770063411635,0.9681770063411637,0,0,,,0.9954058642990524,0.9954058642990525
758,right,0.9400187940186168,0.9400187940186169,0,0,,,0.5649697336776892,0.5649697336776892
759,left,0.9380382069851908,0.9384603986022105,4,3,0.9384636732152482,0.9388860683810574,0.8449228042581952,0.8450047297097195
759,right,0.9423920398936708,0.9423731269148576,2,1,,,0.7227114351057135,0.722891403213603
768,left,0.9351901391399488,0.9351901391399488,3,3,0.9263678175654586,0.9263678175654586,1.5106117441144653,1.5106117441144653
768,right,0.9257672875106968,0.9257672875106967,4,4,0.9411486335165596,0.9411486335165595,0.8601084749211664,0.8601084749211664
773,left,0.9589507640603626,0.9596332302082079,9,8,0.961866457982565,0.9625511267792406,0.9439223941757212,0.9442127411614394
773,right,0.938742909730576,0.9387429097305761,0,0,,,0.7964868267614365,0.7964868267614365
775,left,0.9172181242826234,0.9190799343652714,6,5,0.9493175541900614,0.9512518405720137,2.0266196301423074,2.0273923936738023
775,right,0.760191426104721,0.768297888209702,9,7,0.8675789333168769,0.8771706417306113,0.8115401330214104,0.8200831048561055
