run_id,terr_id,root_node,root_xyz_mm,Q_target_mls,Q_achieved_mls,residual,sum_w,n_nodes,n_outlets,contains_lesion,contains_error
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_A_fixed,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5376422167572849,1.306886201497685e-05,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_B_rederived,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6977861627401765,-0.007600631884826959,1.0964937029550782e-08,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_B_rederived,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5376422167572849,1.306886201497685e-05,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6999285963195747,-0.004553638631085437,1.0964937029550782e-08,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5396408915338576,0.003730598540083388,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_A_fixed,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6719587824495084,-0.04433262407549628,9.536330425831384e-09,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_A_fixed,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5376761730480739,7.622747103191711e-05,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_B_rederived,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6618889907957883,-0.058653995589887056,9.536330425831384e-09,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_B_rederived,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5845984887125744,0.08735160768350583,6.734363422865612e-09,190,2,False,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_C_flowmatched,0,33,53.2765;-149.1457;159.4388,0.7031303980628842,0.6469830960358767,-0.07985332760707362,9.536330425831384e-09,340,4,True,False
280_left_LAD_prox_20mm_80ds_discrete_T4_taper_C_flowmatched,1,37,53.0494;-148.2914;158.8814,0.537635190477166,0.5689026898136328,0.05815746418815329,6.734363422865612e-09,190,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_clean_none,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.459369425911202,0.0,4.661667540553635e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_clean_none,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.328562734220333,0.0,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_A_fixed,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.38325442281369576,-0.16569453429889258,3.4551930432774482e-09,484,3,True,True
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_A_fixed,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3285881702550464,7.741606720470894e-05,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_B_rederived,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4435744828454878,-0.03438396674829512,3.4551930432774482e-09,484,3,True,True
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_B_rederived,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.39441613002650183,0.20042868209761044,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.40662710009174735,-0.11481461944237006,3.4551930432774482e-09,484,3,True,True
306_left_LAD_prox_20mm_80ds_leaky_T1_missed_branch_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3535052213733643,0.07591392618587402,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_A_fixed,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.40202528281032734,-0.12483230242658662,5.1711324742429065e-09,363,4,True,True
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_A_fixed,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3285818974280485,5.832434941529497e-05,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_B_rederived,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4635010152631463,0.00899404513861351,5.1711324742429065e-09,363,4,True,True
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_B_rederived,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3066166191281819,-0.06679429164183333,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4767746347196938,0.03788934967530101,5.1711324742429065e-09,363,4,True,True
306_left_LAD_prox_20mm_80ds_leaky_T2_truncation_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3195187529800414,-0.027525888660966526,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_A_fixed,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.45302267803127305,-0.013816217453609576,4.661667540553636e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_A_fixed,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.32856485517011913,6.4552353788312416e-06,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_B_rederived,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.45302267803127305,-0.013816217453609576,4.661667540553636e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_B_rederived,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.32856485517011913,6.4552353788312416e-06,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4550907393987102,-0.009314260530083473,4.661667540553636e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T3_stenosis_length_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.330689461335266,0.006472819018808273,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_A_fixed,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4253926802046213,-0.07396388133403665,4.423832788993715e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_A_fixed,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3285740885348342,3.455752378053062e-05,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_B_rederived,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4750565962479312,0.034149356600327085,4.423832788993715e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_B_rederived,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.3396463375445436,0.033733598396396294,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.459369425911202,0.4615322430421757,0.0047082304763395024,4.423832788993715e-09,555,4,True,False
306_left_LAD_prox_20mm_80ds_leaky_T4_taper_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.328562734220333,0.32733811721342865,-0.0037271938639368844,2.5020528152713114e-09,303,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_clean_none,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.474873206471665,0.0,1.2341073484394324e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_clean_none,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3018917529892102,0.0,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_A_fixed,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4069266986604846,-0.14308347340972732,9.5557440527069e-09,452,3,True,True
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_A_fixed,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.301912616436733,6.910903433485406e-05,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_B_rederived,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.46356628168283365,-0.023810407988360562,9.5557440527069e-09,452,3,True,True
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_B_rederived,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.35666265547753473,0.18142563334706938,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.42790010452686206,-0.09891714526034391,9.5557440527069e-09,452,3,True,True
306_left_LAD_prox_20mm_80ds_discrete_T1_missed_branch_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3217222406720478,0.06568741108852459,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_A_fixed,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.3735060075063494,-0.21346160950726126,1.106629284209774e-08,319,4,True,True
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_A_fixed,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.30192287849226124,0.00010310153471503606,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_B_rederived,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.47386006790490065,-0.0021334927996717592,1.106629284209774e-08,319,4,True,True
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_B_rederived,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.32149960245643994,0.06494993411738048,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4597505283428914,-0.03184571780988867,1.106629284209774e-08,319,4,True,True
306_left_LAD_prox_20mm_80ds_discrete_T2_truncation_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3087005326074316,0.022553711887799407,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_A_fixed,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4683182880700552,-0.013803512837275446,1.2341073484394324e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_A_fixed,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3018937657224674,6.667069362498395e-06,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_B_rederived,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4683182880700552,-0.013803512837275446,1.2341073484394324e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_B_rederived,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3018937657224674,6.667069362498395e-06,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4704447006447358,-0.00932565949515919,1.2341073484394324e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T3_stenosis_length_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3038418793674249,0.006459687483693303,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_A_fixed,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4389556810844315,-0.0756360327298791,1.065194263198301e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_A_fixed,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.30190278171504153,3.6532054029632055e-05,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_B_rederived,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4395733231700254,-0.07433538641592301,1.065194263198301e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_B_rederived,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.33290636189133027,0.10273420388276878,5.82314467052815e-09,287,2,False,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_C_flowmatched,0,9,35.1138;-175.5903;88.1286,0.474873206471665,0.4275210266768175,-0.09971541697767469,1.065194263198301e-08,511,4,True,False
306_left_LAD_prox_20mm_80ds_discrete_T4_taper_C_flowmatched,1,23,35.1516;-174.9447;87.9500,0.3018917529892102,0.3201279428032124,0.06040638617462963,5.82314467052815e-09,287,2,False,False
