scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,error_type,protocol,n_territories,w_sum,r_ref_root_mm,L_resolved_mm,n_outlets,run_id,draw,status,draw_co,draw_map_mmhg,draw_mu,draw_share_sd,draw_wscv,C_clean,C,C_abs,C_ratio,ffr,dFFR,flip,outlet_flow_residual,passes_check,fit_n_basins,fit_at_bound,inflow_mls,converged
335,left,LAD,prox,10.0,70,leaky,"[0.65, 0.7)",0.6901801724038662,negative,C_flowmatched,2,1.6475295699489253e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_leaky_negative_draw2,2,ok,0.963731125407179,84.55942294835407,0.003955563769583303,0.1,0.083,28.54958012337657,30.03657188137935,30.03657188137935,1.0520845403531949,0.7046008138986362,0.014420641494769959,0,0.010615003990958221,1,1,False,5.823124477871047,True
335,left,LAD,prox,10.0,70,discrete,"[0.65, 0.7)",0.41924026429638195,negative,C_flowmatched,2,1.0986483944093126e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_discrete_negative_draw0,0,ok,1.0502343458829815,95.2409774144827,0.00407826028688946,0.1,0.083,15.045097897999725,14.853435085823639,14.853435085823639,0.9872607799912311,0.4169041630775496,-0.0023361012188323205,0,0.15113836013902404,0,1,False,4.034172367229782,True
335,left,LAD,prox,10.0,70,discrete,"[0.65, 0.7)",0.41924026429638195,negative,C_flowmatched,2,1.0986483944093126e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_discrete_negative_draw1,1,ok,0.9754912627003904,83.84668932685656,0.003982361596389984,0.1,0.083,15.045097897999725,15.594393206541366,15.594393206541366,1.0365099191953195,0.42586909317516203,0.00662882887878008,0,0.019357854069704104,1,1,False,3.9311656523837297,True
335,left,LAD,prox,10.0,70,discrete,"[0.65, 0.7)",0.41924026429638195,negative,C_flowmatched,2,1.0986483944093126e-08,2.25770169776871,247.34729239972998,4,335_left_LAD_prox_10mm_70ds_discrete_negative_draw2,2,ok,1.0016065650872994,88.21771638147618,0.003985170029835608,0.1,0.083,15.045097897999725,16.037109487981503,16.037109487981503,1.0659358680619597,0.43114102034866036,0.011900756052278416,0,0.13386408920227127,0,1,False,3.8722777277511975,True
368,left,LAD,mid,10.0,80,leaky,"[0.65, 0.7)",0.6582249758998878,negative,C_flowmatched,2,1.041153101887422e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_leaky_negative_draw0,0,ok,0.9653535300309393,92.50440811300221,0.003964092634023075,0.1,0.083,34.242370041269666,38.04235125256203,38.04235125256203,1.1109730782861273,0.6867871309454573,0.02856215504556947,0,0.004050736015610752,1,1,False,2.9537809703917697,True
368,left,LAD,mid,10.0,80,leaky,"[0.65, 0.7)",0.6582249758998878,negative,C_flowmatched,2,1.041153101887422e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_leaky_negative_draw1,1,ok,1.0504518389967437,92.02824057470714,0.003985221269581371,0.1,0.083,34.242370041269666,27.45847733116473,27.45847733116473,0.801886005497609,0.596103583310601,-0.06212139258928684,0,0.011200872425861208,1,1,False,4.029686913969592,True
368,left,LAD,mid,10.0,80,leaky,"[0.65, 0.7)",0.6582249758998878,negative,C_flowmatched,2,1.041153101887422e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_leaky_negative_draw2,2,ok,0.9151720759482017,84.13280980042322,0.0040374141941230055,0.1,0.083,34.242370041269666,38.9273406275748,38.9273406275748,1.1368179416511972,0.6929001173078596,0.03467514140797179,0,0.08078678394177069,1,1,False,2.889506322787919,True
368,left,LAD,mid,10.0,80,discrete,"[0.65, 0.7)",0.38978599684908216,negative,C_flowmatched,2,1.9503021144182335e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_discrete_negative_draw0,0,ok,1.059627593490229,87.70810751391615,0.0040600989781629186,0.1,0.083,58.363990806793105,51.50141619508427,51.50141619508427,0.8824176599844491,0.3650263935404513,-0.024759603308630862,0,0.06627705831801606,1,1,False,3.009553233655853,True
368,left,LAD,mid,10.0,80,discrete,"[0.65, 0.7)",0.38978599684908216,negative,C_flowmatched,2,1.9503021144182335e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_discrete_negative_draw1,1,ok,0.9395444072696131,88.96580940005632,0.004028677419905202,0.1,0.083,58.363990806793105,61.51644418289072,61.51644418289072,1.0540136706301224,0.40072272736419506,0.010936730515112902,0,0.023692126800658946,1,1,False,2.604089097388181,True
368,left,LAD,mid,10.0,80,discrete,"[0.65, 0.7)",0.38978599684908216,negative,C_flowmatched,2,1.9503021144182335e-08,1.820327008926476,300.77617629792906,6,368_left_LAD_mid_10mm_80ds_discrete_negative_draw2,2,ok,0.9265968061609421,92.64521113036754,0.003993639378007832,0.1,0.083,58.363990806793105,67.03608829534764,67.03608829534764,1.1485864377791173,0.4192375383967738,0.02945154154769164,0,0.07194264624956699,1,1,False,2.4267619944136265,True
