scan,side,vessel,loc,L_mm,ds_pct,bed,band_cohort,ffr_clean,flip_clean,n_outlets_clean,error_type,protocol,status,meas_same_point,n_outlets,n_outlets_shared,n_territories,info_cut_arc_mm,info_length_lost_mm,info_segments_deleted,C_clean,C,C_ratio,ffr,dFFR,flip,flip_dir,outlet_flow_residual,inflow_mls,inflow_clean_mls,converged,iters,mass_err,fit_n_basins,fit_loss_at_Cstart,fit_loss,fit_at_bound,info_length_delta_mm,info_radius_scale,info_segments_scaled,info_from_arc_mm,info_branch_r_mm,info_branch_arc_mm,info_branch_to_host_ratio
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T1_missed_branch,B_rederived,ok,True,5.0,5.0,2.0,,,1.0,85.02648210033489,70.62628517307527,0.8306386837189528,0.7448370498290671,0.05247098096147651,0.0,,0.14379484305205928,0.8379906128614906,0.7879321601287625,True,27.0,1.2528874547274704e-11,,,,,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T1_missed_branch,C_flowmatched,ok,True,5.0,5.0,2.0,,,1.0,85.02648210033489,78.94487485919409,0.9284739637473859,0.7700815806638284,0.07771551179623781,0.0,,0.09732759379311125,0.760132321496991,0.7879321601287625,True,28.0,1.4983465963646992e-12,1.0,0.020676956888366363,0.009472660513556868,False,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T2_truncation,A_fixed,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,85.02648210033489,85.02648210033489,1.0,0.7679455294010799,0.0755794605334893,0.0,,0.08826977719143886,0.7306071802319607,0.7879321601287625,True,27.0,8.780663478054634e-12,,,,,,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T2_truncation,B_rederived,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,85.02648210033489,91.19979135117832,1.0726045474109898,0.6759492452761143,-0.016416823591476226,0.0,,0.047656952503751765,0.7701176343905349,0.7879321601287625,True,27.0,1.0300327114719574e-12,,,,,,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T2_truncation,C_flowmatched,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,85.02648210033489,87.46635251468905,1.0286954176402947,0.6646900397433076,-0.027676029124282908,0.0,,0.03311553536788939,0.7962933877029263,0.7879321601287625,True,27.0,8.687398623491607e-12,1.0,0.0022711851219448516,0.0010966386827019328,False,,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,2.0,,,,85.02648210033489,85.02648210033489,1.0,0.6788937684492079,-0.013472300418382654,0.0,,0.00976954211812116,0.7815875331938251,0.7879321601287625,True,27.0,9.681672739191642e-12,,,,,2.46,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,2.0,,,,85.02648210033489,85.02648210033489,1.0,0.6788937684492079,-0.013472300418382654,0.0,,0.00976954211812116,0.7815875331938251,0.7879321601287625,True,27.0,9.681672739191642e-12,,,,,2.46,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T3_stenosis_length,C_flowmatched,ok,True,6.0,6.0,2.0,,,,85.02648210033489,84.47213507356918,0.99348030151228,0.6771826696834452,-0.015183399184145352,0.0,,0.008020375155569998,0.7857802007276583,0.7879321601287625,True,27.0,8.033029333409206e-12,1.0,9.544395319774326e-05,6.432641763608445e-05,False,2.46,,,,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T4_taper,A_fixed,ok,True,6.0,6.0,2.0,,,,85.02648210033489,85.02648210033489,1.0,0.6273477516365048,-0.06501831723108575,0.0,,0.05230036776265482,0.7539667687286308,0.7879321601287625,True,27.0,1.4356802075734347e-11,,,,,,0.93,5.0,10.296466682413737,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T4_taper,B_rederived,ok,True,6.0,6.0,2.0,,,,85.02648210033489,82.20968321424238,0.9668715108927055,0.6836445443901068,-0.008721524477483755,0.0,,0.033943826971913046,0.8147033457629905,0.7879321601287625,True,28.0,7.58968346836177e-13,,,,,,0.93,5.0,10.296466682413737,,,
306,left,LAD,prox,20.0,80,leaky,"[0.65, 0.7)",0.6923660688675906,1,6,T4_taper,C_flowmatched,ok,True,6.0,6.0,2.0,,,,85.02648210033489,85.34847102742145,1.003786925192396,0.6932449978724181,0.0008789290048275555,0.0,,0.004239519719655868,0.7888689490632488,0.7879321601287625,True,28.0,1.442490322921448e-11,1.0,0.0011521833894991718,1.797352745335097e-05,False,,0.93,5.0,10.296466682413737,,,
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T1_missed_branch,A_fixed,ok,True,5.0,5.0,2.0,,,1.0,212.12007898488588,212.12007898488588,1.0,0.7721056154274073,0.08387235037189611,0.0,,0.10117530612518741,0.7088393151156055,0.7767649594773071,True,27.0,2.5941036426157975e-11,,,,,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T1_missed_branch,B_rederived,ok,True,5.0,5.0,2.0,,,1.0,212.12007898488588,178.57588206703346,0.841862226912321,0.7344543069329215,0.046221041877410274,0.0,,0.12938739498876511,0.820228937179914,0.7767649594773071,True,27.0,2.3829448108048094e-11,,,,,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T1_missed_branch,C_flowmatched,ok,True,5.0,5.0,2.0,,,1.0,212.12007898488588,198.66471680595893,0.9365672394460796,0.7581745058471154,0.06994124079160424,0.0,,0.08396260358626571,0.7496223452110602,0.7767649594773071,True,27.0,1.6208655022932536e-11,1.0,0.016741097981978717,0.0070497188009844,False,,,,,1.0645663033940767,31.20773847307787,0.789771064323342
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T2_truncation,A_fixed,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,212.12007898488588,212.12007898488588,1.0,0.8164024170490827,0.12816915199357148,1.0,to_negative,0.15094016921177245,0.675428886016626,0.7767649594773071,True,28.0,2.6672433426946215e-11,,,,,,,,,,,
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T2_truncation,B_rederived,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,212.12007898488588,198.7970876225633,0.9371912766293479,0.7030187883717465,0.014785523316235283,0.0,,0.04595130973856086,0.7953596703796498,0.7767649594773071,True,27.0,2.302009155288521e-11,,,,,,,,,,,
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T2_truncation,C_flowmatched,ok,True,6.0,6.0,2.0,55.06079884399462,97.35433396744547,0.0,212.12007898488588,207.30507037273733,0.9773005524267618,0.7135479763728181,0.025314711317306893,0.0,,0.027593655636123295,0.7684510609549126,0.7767649594773071,True,27.0,3.872101966894849e-12,1.0,0.002111522866689158,0.0007614098313649589,False,,,,,,,
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T3_stenosis_length,A_fixed,ok,True,6.0,6.0,2.0,,,,212.12007898488588,212.12007898488588,1.0,0.6746242159116257,-0.013609049143885499,0.0,,0.009760558669938978,0.7702120538142978,0.7767649594773071,True,27.0,2.8271701621419247e-11,,,,,2.46,,,,,,
306,left,LAD,prox,20.0,80,discrete,"[0.65, 0.7)",0.6882332650555112,1,6,T3_stenosis_length,B_rederived,ok,True,6.0,6.0,2.0,,,,212.12007898488588,212.12007898488588,1.0,0.6746242159116257,-0.013609049143885499,0.0,,0.009760558669938978,0.7702120538142978,0.7767649594773071,True,27.0,2.8271701621419247e-11,,,,,2.46,,,,,,
